시군구,회사명,도로명주소,데이터기준일자
안산시,(주)해밀디에스에프,경기도 안산시 상록구 안산테콤1길 14 (사사동),2024-02-13
안산시,(주)현암대부지점,경기도 안산시 단원구 대부황금로 1230 (대부북동) 외 2필지,2024-02-13
안산시,(주)현진산업,"경기도 안산시 상록구 팔곡산단3길 14, B동(팔곡이동)",2024-02-13
안산시,(주)호신철강판넬,"경기도 안산시 상록구 산신길 4, 117-3(장상동) (장상동)",2024-02-13
안산시,(주)호연EFT,"경기도 안산시 상록구 영화5길 14,  101호 (사동)",2024-02-13
안산시,(주)호진플라텍,경기도 안산시 상록구 팔곡산단4길 22(팔곡이동),2024-02-13
안산시,(주)화성공업,경기도 안산시 상록구 도금단지2길 30-2 (팔곡이동),2024-02-13
안산시,(주)효창전기,"경기도 안산시 상록구 선진안길 13 (사동, (주)효창전기)",2024-02-13
안산시,(주)휴닉스,"경기도 안산시 상록구 오목로 194 (본오동, IMM빌딩)",2024-02-13
안산시,(주)휴렉스,경기도 안산시 상록구 원후약수길 29 (장하동),2024-02-13
안산시,(주)휴렉스,"경기도 안산시 상록구 원후약수길 27, 1층(장하동)",2024-02-13
안산시,(주)휴먼케어,"경기도 안산시 상록구 광덕산2로 18, 201호(광덕산빌딩) (월피동)",2024-02-13
안산시,(주)희원정보통신,"경기도 안산시 상록구 평안로 25-1, 2층 (사동)",2024-02-13
안산시,HERZIO KOREA,"경기도 안산시 상록구 용신로 240, 2층 (사동)",2024-02-13
안산시,TANK탱크시스템,"경기도 안산시 상록구 밤속골길 22, 1층(장상동)",2024-02-13
안산시,TOROSYSTEM,"경기도 안산시 상록구 안산테콤길 30, 2층 (사사동)",2024-02-13
안산시,os전자,"경기도 안산시 단원구 초지동로 73, 5층 (초지동, 황금프라자)",2024-02-13
안산시,㈜에스알피,"경기도 안산시 단원구 광덕서로 68, 지하 101호(고잔동)",2024-02-13
안산시,㈜이엘아트,"경기도 안산시 단원구 광덕4로 220, 112호, 113호(고잔동, 밀레니엄프라자)(고잔동, 밀레니엄프라자)",2024-02-13
안산시,㈜지원산업,경기도 안산시 상록구 수인로 1790-8 (부곡동) 공장A동,2024-02-13
안산시,가마야식품,"경기도 안산시 상록구 원후길 16-1, 가마야식품 (장하동)",2024-02-13
안산시,건영플랜트,"경기도 안산시 상록구 도금단지1길 50-1 (팔곡이동, 건영)",2024-02-13
안산시,경인식품,경기도 안산시 상록구 버대길 178 (양상동),2024-02-13
안산시,경인이엔지(주),"경기도 안산시 상록구 한양대학로 86, 301호(사동)",2024-02-13
안산시,경인정밀기기,"경기도 안산시 상록구 선진로 25 (사동, 광해공업사)",2024-02-13
안산시,광신공업,"경기도 안산시 상록구 도금단지2길 31 (팔곡이동, 광신공업)",2024-02-13
